Date,Day_of_Week,Academic_Period,Is_Weekend,Meal,Portions_Prepared,Portions_Sold,Waste_Portions,Waste_Pct,Price_UGX,Revenue_UGX,Ingredient_Cost_UGX,Waste_Cost_UGX,Gross_Profit_UGX,Posho_Flour_kg,Beans_kg,Cooking_Oil_L,Matooke_kg,Groundnuts_kg,Rice_kg,Chicken_kg,Offal_kg,Onions_kg,Irish_Potatoes_kg,Eggs_units,Wheat_Flour_kg,Cabbage_kg,Tomatoes_kg
2024-02-01,Thursday,Other,FALSE,Posho & Beans,170,164,6,3.5,"3,000","492,000","229,500","8,100","262,500",42.5,25.5,3.4,0,0,0,0,0,0,0,0,0,0,0
2024-02-01,Thursday,Other,FALSE,Matooke & Groundnut Stew,146,131,15,10.3,"4,000","524,000","292,000","30,000","232,000",0,0,4.4,58.4,14.6,0,0,0,0,0,0,0,0,0
2024-02-01,Thursday,Other,FALSE,Rice & Chicken,102,82,20,19.6,"6,000","492,000","336,600","66,000","155,400",0,0,4.1,0,0,20.4,18.4,0,0,0,0,0,0,0
2024-02-01,Thursday,Other,FALSE,Katogo (Offal+Matoke),82,78,4,4.9,"3,500","273,000","137,760","6,720","135,240",0,0,0,28.7,0,0,0,12.3,4.1,0,0,0,0,0
2024-02-01,Thursday,Other,FALSE,Chips & Eggs,102,94,8,7.8,"4,500","423,000","192,780","15,120","230,220",0,0,8.2,0,0,0,0,0,0,35.7,153,0,0,0
2024-02-01,Thursday,Other,FALSE,Rolex,180,175,5,2.8,"2,500","437,500","171,000","4,750","266,500",0,0,0,0,0,0,0,0,0,0,180,21.6,9,7.2
2024-02-02,Friday,Other,FALSE,Posho & Beans,158,129,29,18.4,"3,000","387,000","213,300","39,150","173,700",39.5,23.7,3.2,0,0,0,0,0,0,0,0,0,0,0
2024-02-02,Friday,Other,FALSE,Matooke & Groundnut Stew,111,90,21,18.9,"4,000","360,000","222,000","42,000","138,000",0,0,3.3,44.4,11.1,0,0,0,0,0,0,0,0,0
2024-02-02,Friday,Other,FALSE,Rice & Chicken,89,78,11,12.4,"6,000","468,000","293,700","36,300","174,300",0,0,3.6,0,0,17.8,16,0,0,0,0,0,0,0
2024-02-02,Friday,Other,FALSE,Katogo (Offal+Matoke),75,62,13,17.3,"3,500","217,000","126,000","21,840","91,000",0,0,0,26.2,0,0,0,11.2,3.8,0,0,0,0,0
2024-02-02,Friday,Other,FALSE,Chips & Eggs,86,69,17,19.8,"4,500","310,500","162,540","32,130","147,960",0,0,6.9,0,0,0,0,0,0,30.1,129,0,0,0
2024-02-02,Friday,Other,FALSE,Rolex,162,138,24,14.8,"2,500","345,000","153,900","22,800","191,100",0,0,0,0,0,0,0,0,0,0,162,19.4,8.1,6.5
2024-02-03,Saturday,Other,TRUE,Posho & Beans,52,48,4,7.7,"3,000","144,000","70,200","5,400","73,800",13,7.8,1,0,0,0,0,0,0,0,0,0,0,0
2024-02-03,Saturday,Other,TRUE,Matooke & Groundnut Stew,39,34,5,12.8,"4,000","136,000","78,000","10,000","58,000",0,0,1.2,15.6,3.9,0,0,0,0,0,0,0,0,0
2024-02-03,Saturday,Other,TRUE,Rice & Chicken,33,26,7,21.2,"6,000","156,000","108,900","23,100","47,100",0,0,1.3,0,0,6.6,5.9,0,0,0,0,0,0,0
2024-02-03,Saturday,Other,TRUE,Katogo (Offal+Matoke),27,21,6,22.2,"3,500","73,500","45,360","10,080","28,140",0,0,0,9.4,0,0,0,4,1.4,0,0,0,0,0
2024-02-03,Saturday,Other,TRUE,Chips & Eggs,27,26,1,3.7,"4,500","117,000","51,030","1,890","65,970",0,0,2.2,0,0,0,0,0,0,9.4,40,0,0,0
