Date,caf_total_portions_prepared,caf_total_portions_sold,caf_total_waste_portions,caf_avg_waste_pct,caf_total_revenue_ugx,caf_total_ingredient_cost_ugx,caf_total_waste_cost_ugx,caf_total_gross_profit_ugx,caf_posho_flour_kg,caf_beans_kg,caf_cooking_oil_l,caf_matooke_kg,caf_groundnuts_kg,caf_rice_kg,caf_chicken_kg,caf_offal_kg,caf_onions_kg,caf_irish_potatoes_kg,caf_eggs_units,caf_wheat_flour_kg,caf_cabbage_kg,caf_tomatoes_kg,caf_meals_offered,kiosk_total_transactions,kiosk_total_revenue_ugx,kiosk_avg_transaction_ugx,kiosk_items_sold,kiosk_cash_pct,kiosk_momo_pct,kiosk_airtel_pct,kiosk_discounted_txns,kiosk_peak_hour,kiosk_near_lecture_sales,kiosk_sold_biscuits_packet,kiosk_sold_chapati,kiosk_sold_groundnuts_packet,kiosk_sold_juice_splash,kiosk_sold_mandazi_2_pcs,kiosk_sold_rolex,kiosk_sold_samosa_2_pcs,kiosk_sold_soda,kiosk_sold_water_bottle,kiosk_rev_africa_hall_kiosk,kiosk_rev_education_block_kiosk,kiosk_rev_engineering_block_kiosk,kiosk_rev_freedom_square_kiosk,kiosk_rev_main_gate_kiosk,kiosk_rev_mitchell_hall_kiosk,kiosk_rev_senate_building_kiosk,Day_of_Week,Academic_Period,Is_Weekend,caf_rolex_portions,kiosk_rolex_units,total_campus_revenue_ugx,campus_gross_margin_pct,total_portions_served,revenue_per_portion_ugx,waste_cost_pct_of_revenue,ingredient_cost_ratio,kiosk_revenue_share_pct,demand_fulfilment_rate_pct,procurement_efficiency,total_rolex_demand,rolex_egg_demand_units,rolex_wheat_flour_demand_kg,demand_vs_avg_pct
2024-02-01,782,724,58,8.15,2641500.0,1359640.0,130690.0,1281860.0,42.5,25.5,20.1,87.1,14.6,20.4,18.4,12.3,4.1,35.7,333,21.6,9.0,7.2,6,162,205000.0,1265.432098765432,162,52.5,33.3,14.2,17,12,21,6,27,16,16,19,33,28,10,7,24000.0,29000.0,35750.0,32750.0,27500.0,25500.0,30500.0,Thursday,Other,False,175,33.0,2846500.0,45.03,886,3213.0,4.59,51.47,7.2,92.58,92.58,208.0,208,10.4,68.4
2024-02-02,681,566,115,16.933333333333334,2087500.0,1171440.0,194220.0,916060.0,39.5,23.7,17.0,70.6,11.1,17.8,16.0,11.2,3.8,30.1,291,19.4,8.1,6.5,6,161,177750.0,1104.0372670807453,161,60.9,23.0,16.1,18,14,26,9,23,19,14,25,17,31,14,9,19000.0,30250.0,23250.0,21500.0,29500.0,26500.0,27750.0,Friday,Other,False,138,17.0,2265250.0,40.44,727,3116.0,8.57,56.12,7.85,83.11,83.11,155.0,155,7.75,38.2
2024-02-03,243,216,27,12.299999999999999,779000.0,415240.0,54270.0,363760.0,13.0,7.8,5.7,25.0,3.9,6.6,5.9,4.0,1.4,9.4,105,7.8,3.2,2.6,6,37,47250.0,1277.027027027027,37,64.9,21.6,13.5,6,7,0,3,3,4,0,6,7,5,7,2,7750.0,4000.0,5250.0,9000.0,3250.0,9500.0,8500.0,Saturday,Other,True,61,7.0,826250.0,44.03,253,3266.0,6.57,53.3,5.72,88.89,88.89,68.0,68,3.4,-51.9
2024-02-04,232,200,32,12.75,739000.0,399890.0,54050.0,339110.0,12.5,7.5,5.7,25.6,4.3,6.0,5.4,3.6,1.2,9.8,99,6.8,2.9,2.3,6,38,41000.0,1078.9473684210527,38,60.5,26.3,13.2,6,10,0,5,6,4,1,5,6,10,1,0,2500.0,7500.0,4000.0,10000.0,3500.0,5500.0,8000.0,Sunday,Other,True,50,6.0,780000.0,43.48,238,3277.0,6.93,54.11,5.26,86.21,86.21,56.0,56,2.8,-54.8
2024-02-05,1627,1434,193,11.200000000000001,5433500.0,2875410.0,290920.0,2558090.0,88.2,52.9,40.5,186.4,30.6,47.8,43.0,27.4,9.2,64.0,637,43.6,18.2,14.5,6,557,678000.0,1217.2351885098744,557,58.7,29.3,12.0,51,9,79,27,76,66,30,79,102,102,45,30,76250.0,93500.0,98000.0,125250.0,103000.0,87500.0,94500.0,Monday,Sem1_Teaching,False,306,102.0,6111500.0,41.86,1991,3070.0,4.76,52.92,11.09,88.14,88.14,408.0,408,20.4,26.7
2024-02-06,1620,1403,217,11.666666666666666,5191500.0,2775190.0,344600.0,2416310.0,85.5,51.3,38.7,177.6,29.8,42.0,37.8,25.1,8.3,63.7,694,50.5,21.1,16.8,6,535,669750.0,1251.8691588785048,535,57.9,30.8,11.2,52,9,93,25,61,45,36,80,108,113,38,29,76250.0,112500.0,105750.0,96500.0,90500.0,102750.0,85500.0,Tuesday,Sem1_Teaching,False,345,108.0,5861250.0,41.23,1938,3024.0,5.88,53.46,11.43,86.6,86.6,453.0,453,22.65,23.3
2024-02-07,1611,1386,225,14.166666666666666,5182500.0,2833030.0,402140.0,2349470.0,78.8,47.2,41.3,177.3,29.1,46.2,41.6,26.1,8.7,74.9,707,46.3,19.3,15.4,6,537,660250.0,1229.5158286778399,537,61.3,26.6,12.1,58,12,73,29,79,57,26,90,114,84,35,23,90750.0,115500.0,98500.0,90000.0,85250.0,89000.0,91250.0,Wednesday,Sem1_Teaching,False,305,114.0,5842750.0,40.21,1923,3038.0,6.88,54.67,11.3,86.03,86.03,419.0,419,20.95,22.4
2024-02-08,1662,1463,199,11.549999999999999,5446500.0,2895430.0,341260.0,2551070.0,84.0,50.4,41.8,174.9,29.2,47.4,42.7,24.9,8.3,73.5,736,50.5,21.1,16.8,6,556,702250.0,1263.0395683453237,556,61.7,28.1,10.3,51,10,93,30,67,52,44,82,108,98,49,26,88000.0,91250.0,99750.0,118000.0,89250.0,108500.0,107500.0,Thursday,Sem1_Teaching,False,369,108.0,6148750.0,41.49,2019,3045.0,5.55,53.16,11.42,88.03,88.03,477.0,477,23.85,28.5
2024-02-09,1345,1172,173,13.316666666666668,4283000.0,2299180.0,306720.0,1983820.0,74.5,44.7,33.9,137.4,21.5,33.8,30.4,22.1,7.4,64.0,607,40.0,16.7,13.3,6,554,685250.0,1236.9133574007221,554,58.1,28.7,13.2,48,9,81,32,69,59,27,80,106,99,49,33,109250.0,107750.0,86750.0,94750.0,72000.0,111500.0,103250.0,Friday,Sem1_Teaching,False,310,106.0,4968250.0,39.93,1726,2878.0,6.17,53.68,13.79,87.14,87.14,416.0,416,20.8,9.8
2024-02-10,497,425,72,14.049999999999999,1582500.0,861970.0,118820.0,720530.0,24.8,14.8,12.2,51.2,8.0,14.2,12.8,8.2,2.8,22.0,223,15.5,6.5,5.2,6,131,180250.0,1375.9541984732825,131,65.6,23.7,10.7,11,7,0,6,14,10,11,12,29,23,15,11,26750.0,21500.0,24750.0,29250.0,23500.0,31500.0,23000.0,Saturday,Sem1_Teaching,True,114,29.0,1762750.0,40.88,556,3170.0,6.74,54.47,10.23,85.51,85.51,143.0,143,7.15,-64.6
2024-02-11,482,421,61,12.516666666666666,1535000.0,824370.0,106670.0,710630.0,27.8,16.6,11.4,51.9,8.0,12.4,11.2,8.5,2.9,18.9,199,14.2,5.9,4.7,6,132,161250.0,1221.590909090909,132,59.1,28.0,12.9,16,9,0,9,15,11,4,17,25,32,10,9,22250.0,25000.0,24250.0,23250.0,23500.0,27500.0,15500.0,Sunday,Sem1_Teaching,True,97,25.0,1696250.0,41.89,553,3067.0,6.29,53.7,9.51,87.34,87.34,122.0,122,6.1,-64.8
