ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
UGA,107375,Neonatal mortality rate,43,0,UG,Uganda,1988,UG1988DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,1988-89,DHS,,,36,50,
UGA,302172,Neonatal mortality rate,49,0,UG,Uganda,1988,UG1988DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,,1988-89,DHS,,,43,54,
UGA,157148,Postneonatal mortality rate,55,0,UG,Uganda,1988,UG1988DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCPNR,,1988-89,DHS,,,48,62,
UGA,301965,Postneonatal mortality rate,57,0,UG,Uganda,1988,UG1988DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCPNR,,1988-89,DHS,,,51,64,
UGA,126227,Infant mortality rate,98,0,UG,Uganda,1988,UG1988DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,1988-89,DHS,,,89,108,
UGA,302019,Infant mortality rate,106,0,UG,Uganda,1988,UG1988DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,1988-89,DHS,,,98,114,
UGA,301934,Child mortality rate,87,0,UG,Uganda,1988,UG1988DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCCMR,,1988-89,DHS,,,77,98,
UGA,114059,Child mortality rate,91,0,UG,Uganda,1988,UG1988DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCCMR,,1988-89,DHS,,,82,99,
UGA,143250,Under-five mortality rate,177,0,UG,Uganda,1988,UG1988DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1988-89,DHS,,,163,191,
UGA,114628,Under-five mortality rate,187,0,UG,Uganda,1988,UG1988DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,1988-89,DHS,,,175,199,
UGA,302119,Neonatal mortality rate,27,0,UG,Uganda,1995,UG1995DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,1995,DHS,,,22,32,
UGA,135249,Neonatal mortality rate,32,0,UG,Uganda,1995,UG1995DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,,1995,DHS,,,28,36,
UGA,142165,Postneonatal mortality rate,54,0,UG,Uganda,1995,UG1995DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCPNR,,1995,DHS,,,47,62,
UGA,302127,Postneonatal mortality rate,54,0,UG,Uganda,1995,UG1995DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCPNR,,1995,DHS,,,49,60,
UGA,113267,Infant mortality rate,81,0,UG,Uganda,1995,UG1995DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,1995,DHS,,,72,90,
UGA,145903,Infant mortality rate,86,0,UG,Uganda,1995,UG1995DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,1995,DHS,,,79,93,
UGA,130305,Child mortality rate,72,0,UG,Uganda,1995,UG1995DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCCMR,,1995,DHS,,,64,80,
UGA,149483,Child mortality rate,77,0,UG,Uganda,1995,UG1995DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCCMR,,1995,DHS,,,68,85,
UGA,302120,Under-five mortality rate,147,0,UG,Uganda,1995,UG1995DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1995,DHS,,,135,160,
UGA,105533,Under-five mortality rate,156,0,UG,Uganda,1995,UG1995DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,1995,DHS,,,145,167,
UGA,302192,Neonatal mortality rate,33,0,UG,Uganda,2000,UG2000DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,2000-01,DHS,,,28,39,
UGA,302305,Neonatal mortality rate,35,0,UG,Uganda,2000,UG2000DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,,2000-01,DHS,,,31,39,
